source_id,title,url,version,download_date,license,local_path,notes
ghsl_population_r2023a_2000,GHSL R2023A population grid 2000 30 arc-second,https://jeodpp.jrc.ec.europa.eu/ftp/jrc-opendata/GHSL/GHS_POP_GLOBE_R2023A/GHS_POP_E2000_GLOBE_R2023A_4326_30ss/V1-0/GHS_POP_E2000_GLOBE_R2023A_4326_30ss_V1_0.zip,R2023A V1-0,2026-06-25,European Commission Reuse Notice,data/source/rural_time_series/raw/ghsl/GHS_POP_E2000_GLOBE_R2023A_4326_30ss_V1_0.zip,Aggregated to 0.5 degree China grid using DataV province boundary mask.
ghsl_population_r2023a_2005,GHSL R2023A population grid 2005 30 arc-second,https://jeodpp.jrc.ec.europa.eu/ftp/jrc-opendata/GHSL/GHS_POP_GLOBE_R2023A/GHS_POP_E2005_GLOBE_R2023A_4326_30ss/V1-0/GHS_POP_E2005_GLOBE_R2023A_4326_30ss_V1_0.zip,R2023A V1-0,2026-06-25,European Commission Reuse Notice,data/source/rural_time_series/raw/ghsl/GHS_POP_E2005_GLOBE_R2023A_4326_30ss_V1_0.zip,Aggregated to 0.5 degree China grid using DataV province boundary mask.
ghsl_population_r2023a_2010,GHSL R2023A population grid 2010 30 arc-second,https://jeodpp.jrc.ec.europa.eu/ftp/jrc-opendata/GHSL/GHS_POP_GLOBE_R2023A/GHS_POP_E2010_GLOBE_R2023A_4326_30ss/V1-0/GHS_POP_E2010_GLOBE_R2023A_4326_30ss_V1_0.zip,R2023A V1-0,2026-06-25,European Commission Reuse Notice,data/source/rural_time_series/raw/ghsl/GHS_POP_E2010_GLOBE_R2023A_4326_30ss_V1_0.zip,Aggregated to 0.5 degree China grid using DataV province boundary mask.
ghsl_population_r2023a_2015,GHSL R2023A population grid 2015 30 arc-second,https://jeodpp.jrc.ec.europa.eu/ftp/jrc-opendata/GHSL/GHS_POP_GLOBE_R2023A/GHS_POP_E2015_GLOBE_R2023A_4326_30ss/V1-0/GHS_POP_E2015_GLOBE_R2023A_4326_30ss_V1_0.zip,R2023A V1-0,2026-06-25,European Commission Reuse Notice,data/source/rural_time_series/raw/ghsl/GHS_POP_E2015_GLOBE_R2023A_4326_30ss_V1_0.zip,Aggregated to 0.5 degree China grid using DataV province boundary mask.
ghsl_population_r2023a_2020,GHSL R2023A population grid 2020 30 arc-second,https://jeodpp.jrc.ec.europa.eu/ftp/jrc-opendata/GHSL/GHS_POP_GLOBE_R2023A/GHS_POP_E2020_GLOBE_R2023A_4326_30ss/V1-0/GHS_POP_E2020_GLOBE_R2023A_4326_30ss_V1_0.zip,R2023A V1-0,2026-06-25,European Commission Reuse Notice,data/source/rural_time_series/raw/ghsl/GHS_POP_E2020_GLOBE_R2023A_4326_30ss_V1_0.zip,Aggregated to 0.5 degree China grid using DataV province boundary mask.
ghsl_population_r2023a_2025,GHSL R2023A population grid 2025 30 arc-second,https://jeodpp.jrc.ec.europa.eu/ftp/jrc-opendata/GHSL/GHS_POP_GLOBE_R2023A/GHS_POP_E2025_GLOBE_R2023A_4326_30ss/V1-0/GHS_POP_E2025_GLOBE_R2023A_4326_30ss_V1_0.zip,R2023A V1-0,2026-06-25,European Commission Reuse Notice,data/source/rural_time_series/raw/ghsl/GHS_POP_E2025_GLOBE_R2023A_4326_30ss_V1_0.zip,Used as latest available GHSL epoch; 2026 is carried forward and labelled nowcast.
datav_china_province_boundary_100000_full,China province boundary GeoJSON 100000_full,https://geo.datav.aliyun.com/areas_v3/bound/100000_full.json,current at download,2026-06-25,DataV/AMap public boundary service,data/source/rural_time_series/raw/china_provinces_datav_100000_full.json,Used only as visualization and grid masking boundary.
