source_id,title,url,version,download_date,license,local_path,notes
modood_admin_2023_provinces,2023 provinces CSV from Administrative-divisions-of-China,https://raw.githubusercontent.com/modood/Administrative-divisions-of-China/master/dist/provinces.csv,2023-06-30,2026-06-25,WTFPL,data/source/rural_time_series/raw/modood_2023_provinces.csv,Secondary organized source; audit against NBS original pages for formal use.
modood_admin_2023_cities,2023 cities CSV from Administrative-divisions-of-China,https://raw.githubusercontent.com/modood/Administrative-divisions-of-China/master/dist/cities.csv,2023-06-30,2026-06-25,WTFPL,data/source/rural_time_series/raw/modood_2023_cities.csv,Secondary organized source; audit against NBS original pages for formal use.
modood_admin_2023_areas,2023 county/district CSV from Administrative-divisions-of-China,https://raw.githubusercontent.com/modood/Administrative-divisions-of-China/master/dist/areas.csv,2023-06-30,2026-06-25,WTFPL,data/source/rural_time_series/raw/modood_2023_areas.csv,Secondary organized source; audit against NBS original pages for formal use.
modood_admin_2023_streets,2023 township/street CSV from Administrative-divisions-of-China,https://raw.githubusercontent.com/modood/Administrative-divisions-of-China/master/dist/streets.csv,2023-06-30,2026-06-25,WTFPL,data/source/rural_time_series/raw/modood_2023_streets.csv,Secondary organized source; audit against NBS original pages for formal use.
modood_admin_2023_villages,2023 village/community CSV from Administrative-divisions-of-China,https://raw.githubusercontent.com/modood/Administrative-divisions-of-China/master/dist/villages.csv,2023-06-30,2026-06-25,WTFPL,data/source/rural_time_series/raw/modood_2023_villages.csv,Secondary organized source; administrative village/community level not natural-village point data.
